id,item_name,category,price,item_count
317860,Classic Hamburger Menü + Kein Extra + Süßkartoffel Menü #1 + Keine Sauce + Fritz Kola Menü,BURGERMENÜ + Beilagen + Beilagen + Saucen + Alkoholfrei,14.9,3
707723,Bratwurst mit Brötchen + Ketchup auf Bratwurst + Senf auf Bratwurst *,Grillkarte + Abfrage Soße + Abfrage Soße,2.9,1
453391,Prosecco 1dl *,Bubbles Weisswein/Rosé,8.0,6
2026195,"Mittagsmenü Special (2) + BBQ-Burger 150g + Medium + Pommes klein + Tomaten Mayo + Aioli + Fritz Kola Zuckerfrei 0,33l.",Mittagsmenü + Burger + AF Gargrad + Sides + Sauce + Sauce + Softdrinks,11.9,1
1732319,Chardonnay 1 dl,Wein,6.758074766355141,535
1934260,B3 mit Curly Fries + Ohne + Käse,Burger + AF 0 Standard + AF Burger,0.0,1
1505104,Tee creme,Kaffee,4.65,4
1406711,"Burrito Soja Menü + - + mit allem + Salsa + Nacho Menü + Dip Salsa + Coca-Cola 0,33*",Speisen + AF keine Auswahl + AF keine Auswahl + Zwangsabfrage Soße + Zwangsabfrage Menü + Zwangsabfrage Menü + Zwangsabfrage Getränke,10.9,1
261780,Coconut Lips,NON-ALCOHOLIC COCKTAILS,6.5,40
1075809,Eierlikör  groß,Genuss,19.007058823529412,17
375971,5er + Auf die Hand + Lookma Spezial + MI Weiße Schokolade + TI Bunte Streusel + TI M&Ms + FI Heidelbeeren,Choose It + Choose It + Abfrage Fill It + Abfrage Melt it + Abfrage Top It + Abfrage Top It + Abfrage Fruit It,5.4,2
1791421,Rumpsteak 200g + Well Done + Pfannengemüse + Geb. Kartoffel,Steaks + Abfrage Gargrad + Beilagen & Saucen + Beilagen & Saucen,19.5,1
1171049,Chicken Döner + Weizenbrot + Knoblauch + Ohne Grillgemüse + ohne Schafskäse + ohne Tomaten,Main + AF Brot + AF Sauce + AF Extras + AF Extras + AF Extras,7.5,1
1618417,Wonder Waffel  Vegan + Weiße Schokolade + Banane + Zimt + Rafaello + Vanille Eis,WonderWaffel + AF Soßen + AF Früchte + AF Toppings + AF Specials + AF 2 Eis,8.5,1
1123348,White Chocolate Chip Cookies,Pastries,4.0,14
510912,Der Überflieger + ——Brioche—— + KEIN EXTRA + Süßkartoffelpommes + Mayonaise,Burger + AF BurgerBun + Burger Extra + Beilagen Burger + Herr Lehmann’s Dips und Saucen,16.8,3
924860,To die for Chocolate Hummus,Hummus,6.0,11
539946,Kaffee Pauschale,DiversesKalt Warmes Buffett außer Haus,9.900000000000002,18
1836470,Obst,Speisen,0.876470588235294,51
1343657,Burger Mittwoch Menü + BANGKOK + NIENTE + Pom + BBQ DIP,BURGER MENÜ + ADD + ADD + ADD + ADD,12.9,1
706493,5er + ToGo ohne Tüte + FI Weiße Schokolade + MI Weiße Schokolade + MI Bueno + TI Bunte Streusel + TI Oreo + TI M&Ms + FI Ohne + Ohne,Choose It + Choose It + Abfrage Fill It + Abfrage Melt it + Abfrage Melt it + Abfrage Top It + Abfrage Top It + Abfrage Top It + Abfrage Fruit It + Abfrage Complete It,5.9,1
1005485,"Grevensteiner 0,5",Mitarbeiter,0.0,1
436216,Lachsforelle Vorsp.,Vorspeisen / Suppen,18.0,36
1687145,Mojito Himbeere,Mojito,9.0,4
441728,Waldbeere Tee,Heiße Getränke,2.2,1
240254,Tanqueray Gin No. 10 4cl,Spirituosen,7.5,1
1234547,"Schneider Weißburgunder 0,2l",Offener Weisswein,8.899999999999993,45
667313,Teriyaki Burger + Crispy-Chicken-Patty + Single + + extra Salat + + extra Haussoße + Süßkartoffel Fritten,Burger + Patty + Patty + Pommes + Pommes + Pommes,15.5,1
722291,5er + ToGo ohne Tüte + Lookma Spezial + MI Vollmilch Schoko + MI Weiße Schokolade + TI Brownie + TI Mandeln + FI Himbeeren,Abfrage Größe + Abfrage Größe + Abfrage Füllung + Abfrage Soße + Abfrage Soße + Abfrage Topping + Abfrage Topping + Abfrage Früchte,4.9,1
1873110,Gambas Ajillo,Vorspeisen,12.5,5
226699,Gyrosburger + Sesam + . + Süßkartoffelp. klein + Aioli + ..**,Aktionsburger + Brötchen + AF alle Burger_ + Pommes + AF alle Pommes/Onion Rings + AF Extra Dips,14.700000000000001,2
1822438,Pumpkin Latte + Hafermilch,Coffee + Abfrage Milch,4.859166666666666,12
355200,3er-Mix + Falafel + Kafta + Halloumi + Linsensalat BL + Bulgur–Salat BL + Tabouleh BL + Joghurt–Minze + Keine Sauce + Inhouse,Platte + Platte + Platte + Platte + AF Beilage + AF Beilage + AF Beilage + AF Sauce + AF Extras + AF Inhouse/Mitnahme,12.5,1
1984591,Zwiebelrostbraten umbestellt ! + Medium + Spätzle anstatt,Gerichte umbestellt + AF Garstufe + AF Beilage zum Auswählen anstatt,25.899999999999988,19
1702348,HKT Herzhafte Kräuter. 2cl,Kräuter,3.0,8
168525,Gebr. Käse,Kleine Karte,10.9,1
1632813,Rote Curry Suppe + ohne Crevetten + 1.Gang,VORSPEISEN + SPEISEN ZUSATZ + GANGWAHL,12.0,141
507203,Bronte DOP,Pizze,16.5,62
1559105,Creamy Tuna.,Inside Out Roll,5.664444444444445,225
817728,Tagliatelle Lauch,Speisen Mittag,19.636363636363637,11
311219,"Wein + Weißburgunder, Klopfer",Getränke + AF FlaschenWein,24.8,1
526913,"Johannisbeer- schorle 0,4",Beil Saftschorle,3.5,29
1454013,Yakitori Spiess,Extras,8.0,3
61246,Frizz Special,Shisha,10.0,1
1915188,Wildgulasch + Salzkartoffeln + Ohne Salat,Wildgerichte + AF Beilagen + AF Salat,15.5,1
108692,Eagle Rare 10 + PUR,AMERIKANISCHE WHISKY + AF AUFSCHLÄGE,9.0,3
27327,Kakao + mit Sahne,Heiß getränke + AF Schuss,3.1,4
114180,Menu Groupe,Menus Déjeuner,25.0,72
1647939,52 Spezialspieß + Spaghetti,Delikate Spezialitäten + AF Beilage,15.5,1
1977951,Pas de Quinoa,Salate,9.9,4
1156267,Wonder Waffel + Weiße Schokolade + Erdbeeren + Nochmal die selben Früchte + Weiße Raspel + Kinder Riegel + Erdbeer Eis * + Getränk: Nein + Kein Paket,WonderWaffel + AF Soßen + AF Früchte + AF Früchte + AF Toppings + AF Specials + AF 2 Eis + AF Getränk + AF Paket,7.9,1
1200483,G42 Pizza Holland 22cm,Pizza Günes 22cm,7.0,1
1199058,Flat White Groß + mit Extra Shot + Im Café,Heiße Getränke + AF Heißgetränke + AF To go,2.85,4
1886503,Fischstäbchen + mit Pommes Frites + Pommes Frites,Kinderkarte + ABFRAGE opt. Beilagenänderung + ABFRAGE Fischstäbchen,7.5,3
394575,Cheeeeezy + +Cheddar Käse + MEDIUM +++,Burger + 1 Sonderwunsch Burger dazu + 1 Sonderwunsch Burger dazu,7.9,1
1794570,Mexico Burger + ohne Käse + Pommes,Burger + Burger Beilage + Burger Beilage,13.9,2
877188,Panna Cotta.,Desserts & Co,8.666666666666666,6
977022,"Strongbow Cider 1,5l",Draught Beer,14.399999999999993,30
807958,Platte Shawarma + Rote–Beete–Rotkohl BL + Bulgur–Salat BL + Tabouleh BL + Harissa + Joghurt–Minze + Keine Sauce + Inhouse,Platte + AF Beilage + AF Beilage + AF Beilage + AF Sauce + AF Sauce + AF Extras + AF Inhouse/Mitnahme,10.0,2
296208,"Kristal 0,5",Bier,4.0,34
26288,Martini Bianco on the Rocks 4cl,G-O Shooters,4.0,1
1208773,Martini,Shots #1,3.0,1
160375,Vermouth Bianco,Apéritivs/Drinks,8.0,5
1331935,"Saftschorle 0,2l + Apfel","Säfte 0,2l + AF Saft",2.9516455696202533,79
1192791,Atlantik-Lachs Bowl + Quinoa + Frühlingszwiebeln + Edamame-Bohnen + Frische Koriander + Kein weiteres extra + Teriyaki Marinade + Avocado + Mango + Möhre + Kein weiteres Topping + Teriyaki Sauce + Granatapfel + Pink Ingwer + Kein weiteres Crunchy,Selbstmix Poke Bowl + Base + Inklusiv-Mix in + Inklusiv-Mix in + Inklusiv-Mix in + Extra Mix-in + Marinade + Inklusiv Topping + Inklusiv Topping + Inklusiv Topping + Extra Topping + Sauce + Inklusiv Crunchy-Topping + Inklusiv Crunchy-Topping + Extra Crunchy-Topping,12.0,1
1978084,Salat Maultaschenstreifen,Salate,10.900000000000004,15
1657599,"COLA LIGHT 0,2",ALKOHOL-FREIES,2.5,4
2056121,Beef must. 100g* Menü + ——> + Pom Frit. + BC Spezial Dip* + Afri Cola o. Zucker 0.33* + Pfand + --------,"Beef Mustard* Menü + Extras + Beilagen* + Dips* + AFG* + 0,15€ Pfand kassiert + Milkshakes 0,3*",13.55,1
146503,Capuccino mit Sahne,Kaffee & Schokoladen,3.0,7
817697,Tagessuppe + Zum Hauptgang,Speisen + T-erster Gang-Z,3.900000000000003,68
